Timestamp,Your Survey-ID,How old are you? ,Your gender?,Where do you currently live?,Highest Completed Education,"Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [Social power, control over others, and dominance]","Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [Wealth, material possessions, and Money]","Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [Family security and safety for loved ones]","Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [Self-discipline, self-restraint, resistance to temptations]","Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [A varied life, filled with challenge, novelty and change]","Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [An exciting life, stimulating experiences]","Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [Equality, equal opportunity for all]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I consider how things might be in the future, and try to influence those things with my day to day behaviour]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am willing to sacrifice my immediate happiness or well-being in order to achieve future outcomes]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I think that sacrificing now is usually unnecessary since future outcomes can be dealt with at a later time.]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [People who say we shouldn’t tamper with nature are being naïve]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I would prefer to live in a world where humans leave nature alone]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [If things continue on their present course, we will soon experience a major ecological catastrophe]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [The so-called “ecological crisis” facing humankind has been greatly exaggerated]","Please complete the phrase and elaborate:

Carbon Dioxide Removal is an opportunity to...","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am confident I know what climate change is]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am confident I know the causes of climate change]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [Climate change is a serious problem]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am personally affected by climate change]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am very worried about climate change]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am confident I know the basics of CDR]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am confident I have advanced knowledge of CDR]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am confident I could explain what CDR is to others]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am confident I could teach others what CDR is and how it works]"
04/11/2023 02:14:13,GAFEMU26,42,Male,Canada,Bachelor's,3,3,5,3,4,4,4,5,5,3,2,4,6,1,"limit climate change, buy us time to find non-carbon alternatives for hard to abate processes, and possible reverse some global warming.",6,6,7,7,6,4,1,4,2
04/11/2023 06:35:44,LAAUSE31,36,Female,United States of America,Bachelor's,2,3,5,3,5,5,5,6,7,2,3,2,7,1,Save the planet in many wacky and wonderful ways. There are so many ingenious solutions people have come up with that I have hope that we can get them up to the scale we need.,7,7,7,7,7,4,1,6,5
04/11/2023 08:41:25,MOFELY02,39,Female,Switzerland,Master's,4,4,4,4,5,5,5,6,5,3,6,5,7,1,Create an impact in solving one of the biggest global challenge of our time.,5,5,7,4,6,3,1,2,1
04/11/2023 13:49:43,JASEHI27,45,Male,United Kingdom,Bachelor's,3,3,4,4,5,4,4,6,4,3,2,4,7,1,"have a huge impact on saving the planet. I understand it to be an underinvested/supported area, but a necessary thing to happen to keep within the Paris Agreement goals on climate change.",7,7,7,6,7,5,3,5,3
05/11/2023 03:11:22,ELJUDC15,27,Female,United States of America,Bachelor's,2,4,5,2,5,4,5,5,3,3,5,3,6,2,avert climate catastrophe by helping us reverse course on some of the harms we've caused and buy us time to find more eco friendly alternatives,6,5,7,6,6,2,1,2,1
06/11/2023 00:08:16,ardean21,41,Male,Canada,PHD / MBA,3,3,4,4,5,5,4,6,6,4,5,6,7,3,"reduce carbon dioxide, and therefore slow down climate change",7,7,7,7,6,5,4,4,4
06/11/2023 07:20:56,KAMASATH,16,Male,United States of America,High School,2,4,4,5,4,5,5,6,6,2,5,2,7,2,help in the reversal of climate change and provide additional time to stop current pollution,7,7,7,5,4,5,3,6,5
06/11/2023 15:52:20,SAJALO17,53,Male,United Kingdom,PHD / MBA,1,3,5,3,4,4,2,5,6,3,7,5,7,1,"avoid the most cataclysmic temperature increase scenarios and fix some of the problems we have caused over the past 100 years

Without CDR, we have no chance of avoiding a 1.5° and almost zero chance of avoiding a 2° C increase outcome.",6,7,7,2,5,7,2,6,6
06/11/2023 16:11:32,CANOWH01,30,Male,United States of America,Bachelor's,2,3,4,3,3,5,5,7,4,3,3,5,7,1,buy more time for humans to de-carbonize our energy grid before we cause irreversible ecological disaster,7,6,7,7,7,3,2,2,2
06/11/2023 17:10:15,MEFELO21,25,Female,United States of America,Bachelor's,2,4,5,3,5,4,5,4,5,2,3,5,7,1,Engineer a sustainable future,7,6,7,7,7,1,1,1,1
